,person_id,name,field_goals_made,field_goals_ast,field_goals_missed,times_ball_lost,times_ball_stolen,fouls,games_played,field_goals_blocked,free_throws_made,free_throws_missed,rebounds,points,three-pointers
1821,1627751.0,Jakob Poeltl,1334.0,686.0,813.0,406.0,225.0,851.0,369.0,468.0,363.0,328.0,2529.0,15449.0,120.0
1822,1627740.0,Henry Ellenson,66.0,28.0,106.0,22.0,7.0,41.0,42.0,3.0,24.0,11.0,125.0,285.0,0.0
1823,1627771.0,Michael Gbinije,1.0,2.0,9.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,3.0,10164.0,76.0
1824,203967.0,Dario Saric,1164.0,547.0,1488.0,449.0,179.0,669.0,314.0,63.0,522.0,107.0,1688.0,5637.0,30.0
1825,203954.0,Joel Embiid,2713.0,1011.0,2684.0,997.0,285.0,946.0,297.0,493.0,2552.0,543.0,3337.0,204.0,0.0
1826,1627734.0,Domantas Sabonis,2374.0,1743.0,1937.0,968.0,313.0,1249.0,391.0,176.0,1173.0,430.0,3885.0,170.0,1.0
1827,203902.0,Semaj Christon,71.0,124.0,138.0,42.0,27.0,76.0,60.0,7.0,16.0,14.0,83.0,3837.0,32.0
1828,203518.0,Alex Abrines,177.0,59.0,296.0,45.0,53.0,164.0,95.0,14.0,55.0,5.0,128.0,681.0,2.0
1829,1627737.0,Marquese Chriss,605.0,205.0,695.0,232.0,135.0,549.0,212.0,152.0,284.0,127.0,946.0,151.0,3.0
1830,1627755.0,Tyler Ulis,175.0,216.0,242.0,76.0,48.0,71.0,57.0,5.0,53.0,14.0,91.0,210.0,0.0
1831,1627733.0,Dragan Bender,177.0,103.0,255.0,82.0,29.0,201.0,98.0,49.0,43.0,31.0,348.0,11926.0,97.0
1832,1627781.0,Malachi Richardson,33.0,10.0,54.0,16.0,4.0,34.0,34.0,1.0,17.0,4.0,35.0,1606.0,15.0
1833,203585.0,Rodney McGruder,588.0,340.0,828.0,176.0,136.0,408.0,272.0,44.0,146.0,67.0,791.0,73.0,0.0
1834,1627763.0,Malcolm Brogdon,1875.0,1587.0,2170.0,582.0,268.0,591.0,326.0,77.0,806.0,109.0,1418.0,211.0,7.0
1835,1627742.0,Brandon Ingram,2252.0,1267.0,2635.0,798.0,228.0,782.0,323.0,166.0,1244.0,319.0,1649.0,0.0,0.0
1836,1626150.0,Andrew Harrison,128.0,211.0,261.0,89.0,54.0,221.0,83.0,20.0,156.0,46.0,151.0,94.0,2.0
1837,1627735.0,Wade Baldwin IV,44.0,71.0,97.0,50.0,19.0,50.0,45.0,8.0,35.0,9.0,58.0,12205.0,124.0
